POW_LGA_CODE_2021,TPW_Oth_tspt_P,TPW_PstCour_PU_D_Svc_M,TPW_PstCour_PU_D_Svc_F,TPW_PstCour_PU_D_Svc_P,TPW_Tspt_supt_Svs_M,TPW_Tspt_supt_Svs_F,TPW_Tspt_supt_Svs_P,TPW_Wh_storage_Svs_M,TPW_Wh_storage_Svs_F,TPW_Wh_storage_Svs_P,TPW_Tot_M,TPW_Tot_F,TPW_Tot_P,IMT_IMT_nfd_M,IMT_IMT_nfd_F,IMT_IMT_nfd_P,IMT_PubExc_InetMusP_M,IMT_PubExc_InetMusP_F,IMT_PubExc_InetMusP_P,IMT_MotionP_SR_Act_M,IMT_MotionP_SR_Act_F,IMT_MotionP_SR_Act_P,IMT_Brdcast_ex_Inet_M,IMT_Brdcast_ex_Inet_F,IMT_Brdcast_ex_Inet_P,IMT_InetPub_brdcast_M,IMT_InetPub_brdcast_F,IMT_InetPub_brdcast_P,IMT_Tel_Svs_M,IMT_Tel_Svs_F,IMT_Tel_Svs_P,IMT_ISP_WSP_DP_svce_M,IMT_ISP_WSP_DP_svce_F,IMT_ISP_WSP_DP_svce_P,IMT_Lib_and_oth_IS_M,IMT_Lib_and_oth_IS_F,IMT_Lib_and_oth_IS_P,IMT_Tot_M,IMT_Tot_F,IMT_Tot_P,FinIns_FinIns_nfd_M,FinIns_FinIns_nfd_F,FinIns_FinIns_nfd_P,FinIns_Finance_M,FinIns_Finance_F,FinIns_Finance_P,FinIns_Ins_and_super_funds_M,FinIns_Ins_and_super_funds_F,FinIns_Ins_and_super_funds_P,FinIns_Aux_FinIns_Svs_M,FinIns_Aux_FinIns_Svs_F,FinIns_Aux_FinIns_Svs_P,FinIns_Tot_M,FinIns_Tot_F,FinIns_Tot_P,RHRE_RHRE_nfd_M,RHRE_RHRE_nfd_F,RHRE_RHRE_nfd_P,RHRE_RHSvc_ex_RealE_M,RHRE_RHSvc_ex_RealE_F,RHRE_RHSvc_ex_RealE_P,RHRE_POps_and_RE_svs_M,RHRE_POps_and_RE_svs_F,RHRE_POps_and_RE_svs_P,RHRE_Tot_M,RHRE_Tot_F,RHRE_Tot_P,ProSTS_ProSTS_nfd_M,ProSTS_ProSTS_nfd_F,ProSTS_ProSTS_nfd_P,ProSTS_ProSTS_ex_CSD_RS_M,ProSTS_ProSTS_ex_CSD_RS_F,ProSTS_ProSTS_ex_CSD_RS_P,ProSTS_CSD_RS_M,ProSTS_CSD_RS_F,ProSTS_CSD_RS_P,ProSTS_Tot_M,ProSTS_Tot_F,ProSTS_Tot_P,AdSup_AdSup_nfd_M,AdSup_AdSup_nfd_F,AdSup_AdSup_nfd_P,AdSup_Admin_Svs_M,AdSup_Admin_Svs_F,AdSup_Admin_Svs_P,AdSup_BldCln_PC_oth_Svc_M,AdSup_BldCln_PC_oth_Svc_F,AdSup_BldCln_PC_oth_Svc_P,AdSup_Tot_M,AdSup_Tot_F,AdSup_Tot_P,PubAS_PubAS_nfd_M,PubAS_PubAS_nfd_F,PubAS_PubAS_nfd_P,PubAS_PubAdm_M,PubAS_PubAdm_F,PubAS_PubAdm_P,PubAS_Defen_M,PubAS_Defen_F,PubAS_Defen_P,PubAS_PO_S_and_R_Svs_M,PubAS_PO_S_and_R_Svs_F,PubAS_PO_S_and_R_Svs_P,PubAS_Tot_M,PubAS_Tot_F,PubAS_Tot_P,EdTrn_EdTrn_nfd_M,EdTrn_EdTrn_nfd_F,EdTrn_EdTrn_nfd_P,EdTrn_PreSch_and_Sch_ed_M,EdTrn_PreSch_and_Sch_ed_F,EdTrn_PreSch_and_Sch_ed_P,EdTrn_Tertiary_ed_M,EdTrn_Tertiary_ed_F,EdTrn_Tertiary_ed_P,EdTrn_AdultCom_andOthEd_M,EdTrn_AdultCom_andOthEd_F,EdTrn_AdultCom_andOthEd_P,EdTrn_Tot_M,EdTrn_Tot_F,EdTrn_Tot_P,HC_SA_HC_SA_nfd_M,HC_SA_HC_SA_nfd_F,HC_SA_HC_SA_nfd_P,HC_SA_Hospitals_M,HC_SA_Hospitals_F,HC_SA_Hospitals_P,HC_SA_Med_oth_HCS_M,HC_SA_Med_oth_HCS_F,HC_SA_Med_oth_HCS_P,HC_SA_Resident_CS_M,HC_SA_Resident_CS_F,HC_SA_Resident_CS_P,HC_SA_Soc_assis_Svs_M,HC_SA_Soc_assis_Svs_F,HC_SA_Soc_assis_Svs_P,HC_SA_Tot_M,HC_SA_Tot_F,HC_SA_Tot_P,ArtsR_ArtsR_nfd_M,ArtsR_ArtsR_nfd_F,ArtsR_ArtsR_nfd_P,ArtsR_Heritage_ac_M,ArtsR_Heritage_ac_F,ArtsR_Heritage_ac_P,ArtsR_Creative_PAA_M,ArtsR_Creative_PAA_F,ArtsR_Creative_PAA_P,ArtsR_Sports_rec_ac_M,ArtsR_Sports_rec_ac_F,ArtsR_Sports_rec_ac_P,ArtsR_Gambling_ac_M,ArtsR_Gambling_ac_F,ArtsR_Gambling_ac_P,ArtsR_Tot_M,ArtsR_Tot_F,ArtsR_Tot_P,OthSvs_OthSvs_nfd_M,OthSvs_OthSvs_nfd_F,OthSvs_OthSvs_nfd_P,OthSvs_Repair_maintenanc_M,OthSvs_Repair_maintenanc_F,OthSvs_Repair_maintenanc_P,OthSvs_Personal_OthSvs_M,OthSvs_Personal_OthSvs_F,OthSvs_Personal_OthSvs_P,OthSvs_PriHES_UG_SPA_HOU_M,OthSvs_PriHES_UG_SPA_HOU_F,OthSvs_PriHES_UG_SPA_HOU_P,OthSvs_Tot_M,OthSvs_Tot_F,OthSvs_Tot_P,Inad_des_M,Inad_des_F,Inad_des_P,Industry_of_em_NS_M,Industry_of_em_NS_F,Industry_of_em_NS_P,Tot_M,Tot_F,Tot_P
LGA55390,0,0,0,0,0,0,0,0,0,0,6,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,3,0,9,0,0,0,25,9,34,6,3,10,27,11,43,0,0,0,16,9,24,0,0,0,0,0,0,12,9,24,0,0,0,0,16,14,0,0,0,0,0,0,0,16,14,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,4,5,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,5,3,6,0,0,0,12,0,12,3,6,12,0,0,0,15,6,25,5,3,7,8,3,9,867,206,1075
LGA55460,0,7,3,11,0,0,0,9,0,12,81,23,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,7,5,16,0,0,0,4,12,13,0,0,0,0,0,0,3,13,20,0,0,0,0,0,5,5,0,9,8,0,10,0,0,0,9,19,30,0,0,0,10,19,31,0,0,0,3,0,9,5,9,18,14,14,22,0,0,0,37,36,71,0,0,0,11,8,16,47,40,90,0,0,5,27,119,139,0,5,7,0,0,0,29,122,156,0,6,9,23,82,102,5,34,38,5,7,4,5,29,33,36,145,178,0,0,0,0,3,3,0,0,0,0,4,8,0,0,0,6,9,8,0,0,0,40,11,50,7,13,16,0,0,0,40,23,66,22,7,30,11,6,18,724,715,1439
LGA55530,0,0,0,0,3,0,3,0,0,0,11,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,17,0,0,0,0,0,0,12,8,17,0,0,0,4,13,17,0,0,0,0,0,0,4,13,17,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,145,82,227
LGA55600,0,5,7,14,0,0,0,0,0,0,35,20,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,18,0,6,4,0,0,6,5,20,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,24,0,0,0,9,17,24,0,0,0,0,5,5,6,4,13,6,13,17,0,0,0,25,26,58,0,0,0,8,3,7,32,35,65,4,3,4,22,96,116,0,4,12,0,4,4,21,108,130,0,3,3,3,53,56,6,26,27,0,3,3,0,19,22,8,103,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,29,4,35,0,6,6,0,0,0,29,13,42,18,4,16,9,7,13,556,533,1083
LGA55670,0,0,0,0,0,0,0,0,0,0,11,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,6,0,7,0,0,0,6,4,10,0,0,0,5,7,21,0,0,0,0,0,0,8,7,18,0,0,0,20,46,68,4,0,4,0,0,0,20,46,66,0,0,0,3,18,20,0,4,3,0,0,0,0,5,5,3,30,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,3,181,154,333
LGA55740,0,3,0,7,0,0,3,0,0,0,15,5,18,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,9,5,12,0,0,0,8,10,14,17,10,33,0,0,0,4,0,4,24,23,52,30,23,56,0,0,0,91,72,165,22,6,29,113,85,198,0,0,0,8,19,26,27,21,45,33,35,73,0,0,0,26,47,69,6,0,6,4,0,4,24,47,67,0,5,9,106,500,610,0,0,0,15,17,32,122,528,648,5,18,20,4,0,9,24,132,159,30,132,163,132,298,423,195,582,774,0,0,0,0,4,5,6,6,10,10,5,13,0,0,0,21,17,36,0,0,0,8,5,13,15,53,71,0,10,10,21,71,88,33,32,65,13,11,24,1013,1743,2755
LGA55810,0,0,4,5,0,0,0,0,0,0,10,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,6,0,4,5,3,8,15,0,0,3,3,12,13,0,0,0,7,3,8,11,14,20,0,0,0,3,14,13,0,0,0,0,5,5,3,17,18,4,0,4,0,0,0,5,5,11,0,0,0,0,5,5,7,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,6,3,10,11,5,10,484,173,661
LGA55880,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,13,0,0,0,5,0,5,4,7,17,0,0,0,0,16,16,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,4,4,0,0,0,0,6,6,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,4,0,0,0,4,3,5,6,5,9,0,0,0,133,99,237
LGA55950,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,15,0,0,0,0,0,0,15,3,13,0,0,0,0,26,24,0,0,0,0,0,0,0,26,24,0,0,0,0,4,4,0,0,0,0,0,0,0,3,3,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,14,0,0,0,0,0,0,13,0,17,0,3,5,3,0,4,144,93,242
LGA56090,3,58,31,89,7,0,14,3,0,3,366,137,504,0,0,0,0,3,9,5,0,5,4,0,4,0,0,0,5,4,7,3,0,3,0,0,0,21,15,32,3,0,3,3,3,11,0,4,4,21,12,34,28,25,48,0,0,0,9,7,10,37,65,102,48,72,121,5,0,6,206,223,427,41,14,54,248,236,484,0,0,0,20,29,46,81,54,138,102,88,187,0,0,0,164,139,300,3,0,3,383,278,661,549,418,963,8,15,21,215,926,1133,7,9,15,27,73,100,254,1021,1272,0,10,8,0,12,12,62,254,313,33,161,197,54,233,285,151,673,823,0,0,3,7,13,18,19,21,42,20,37,58,0,0,0,46,70,116,0,0,0,227,68,296,34,169,205,0,0,0,258,245,502,249,136,379,71,45,111,4642,4681,9324
LGA56160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,15,0,0,0,0,0,0,9,3,15,0,0,0,0,0,6,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,21,65
LGA56230,0,9,13,17,0,0,0,18,4,20,68,33,105,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,5,0,0,0,0,10,10,3,5,3,4,14,15,9,21,32,0,0,0,15,11,23,9,31,44,29,45,70,0,0,0,59,78,138,5,3,10,66,83,153,0,0,0,19,18,40,38,61,100,51,78,134,0,0,0,83,89,172,0,0,0,23,16,39,111,104,214,3,6,9,86,293,377,0,0,0,4,19,28,96,322,419,0,10,11,6,35,43,22,91,106,9,95,107,27,101,127,56,329,387,0,0,0,0,14,16,3,0,7,51,60,110,0,3,8,56,85,138,0,0,0,92,20,115,17,58,80,0,0,0,117,79,196,114,63,177,38,33,75,3714,2546,6257
LGA56300,0,0,3,0,0,0,0,0,0,0,5,8,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,4,6,3,0,0,0,4,4,6,0,0,0,9,5,10,0,0,0,0,0,0,8,0,5,4,0,4,0,0,0,25,10,32,0,0,0,0,0,0,28,10,37,0,0,0,3,28,37,0,0,0,0,0,0,3,30,38,0,4,3,9,18,25,3,3,4,0,3,3,6,18,26,15,41,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,0,0,0,0,0,0,0,4,4,0,0,0,0,4,6,5,5,10,9,7,10,258,243,500
LGA56370,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,12,8,23,0,0,0,0,0,0,20,8,24,0,0,0,4,19,25,0,0,0,0,0,0,4,19,25,0,0,0,0,23,23,3,9,6,0,0,0,0,5,5,3,31,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,4,7,8,4,16,4,6,9,235,162,399
LGA56460,0,10,9,11,10,0,12,0,0,0,77,28,101,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,8,0,0,0,0,0,0,8,0,13,0,0,0,11,30,41,6,3,6,3,10,15,20,44,66,0,0,0,0,0,0,9,13,16,9,13,17,0,0,0,24,30,56,0,0,0,20,36,53,0,0,0,0,8,13,13,19,31,16,26,43,0,0,0,54,55,107,0,0,0,22,16,40,74,73,144,0,3,8,77,215,284,4,14,14,0,6,10,80,236,315,4,4,8,30,164,198,20,88,110,20,85,108,13,66,84,92,412,503,0,0,0,3,0,4,0,4,4,5,7,16,0,0,0,12,13,23,0,0,0,56,16,74,12,28,42,0,0,0,65,46,112,33,27,57,20,11,27,1041,1280,2322
LGA56580,3,58,20,79,3,0,3,0,5,3,210,51,266,0,0,0,3,8,13,9,10,16,0,0,0,0,0,0,4,8,10,19,3,22,0,3,3,41,33,67,7,0,10,23,33,58,53,97,148,96,85,178,178,214,393,0,0,3,12,8,20,137,167,307,149,172,325,0,3,7,416,431,842,110,34,141,524,464,993,0,0,0,60,99,160,47,34,77,111,125,234,0,0,0,147,181,332,579,110,692,65,20,82,794,316,1107,14,38,48,244,748,990,168,212,379,97,138,240,521,1133,1657,17,83,101,616,1789,2403,277,829,1108,99,331,436,65,229,292,1076,3259,4337,3,6,5,6,9,9,3,19,27,209,173,384,0,0,0,223,203,424,0,0,0,85,15,96,262,560,822,0,17,17,346,583,929,186,171,353,65,49,117,5797,7688,13482
LGA56620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,4,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,31,17,46,0,0,0,3,0,9,34,17,53,4,4,7,15,34,50,0,0,0,0,0,0,14,39,52,0,0,5,0,0,0,11,17,26,0,5,3,0,3,3,12,24,38,0,0,0,0,0,0,4,11,16,0,0,0,0,0,0,6,17,23,0,0,0,0,0,0,0,6,3,0,0,0,0,6,3,0,0,0,0,0,3,117,112,233
LGA56730,4,13,10,21,21,10,30,9,5,18,158,45,201,0,0,0,0,4,3,0,0,0,5,0,4,0,0,0,4,0,4,0,0,0,0,0,0,7,4,13,0,0,0,12,23,32,0,6,7,0,6,7,15,29,46,0,0,4,7,0,7,21,30,42,28,27,53,0,0,0,43,74,118,9,4,8,51,74,129,0,0,0,12,39,47,16,31,48,32,68,98,0,0,0,84,177,261,0,0,0,232,123,355,317,299,617,0,5,6,87,298,389,36,55,88,10,14,21,131,374,500,4,15,21,63,244,308,52,155,208,10,89,106,35,125,163,170,633,808,0,0,0,0,0,4,4,0,3,11,14,28,0,0,0,16,15,33,0,0,0,96,30,119,18,51,63,0,0,0,107,84,189,104,45,155,36,34,70,2313,2518,4828
LGA56790,0,5,0,11,0,0,0,0,0,4,13,10,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,11,11,0,0,0,0,0,4,0,0,0,5,4,6,0,0,0,3,11,15,7,20,28,13,26,40,0,0,0,31,19,49,0,0,0,7,4,6,36,22,53,0,4,4,16,83,96,0,0,0,7,0,8,15,87,100,0,3,3,5,37,45,0,19,22,0,0,0,0,11,14,15,66,84,0,0,0,6,4,4,0,4,4,3,3,9,0,0,0,3,5,14,0,0,0,8,4,9,5,8,13,0,0,0,10,11,24,15,13,31,10,3,14,588,539,1126
LGA56860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,6,0,6,0,0,0,3,6,8,0,0,0,0,0,0,3,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,25,65
LGA56930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,7,4,4,6,7,4,11,0,0,0,10,9,17,20,17,36,0,0,0,0,0,0,17,38,52,17,38,52,0,0,0,16,35,48,4,3,8,24,35,57,0,0,0,0,0,0,10,17,25,10,14,25,0,0,0,11,12,28,0,0,0,10,0,11,24,15,40,3,3,12,64,256,319,0,0,0,29,23,50,92,285,381,0,0,0,0,0,6,16,63,80,0,0,3,0,7,7,17,78,88,0,0,0,0,0,0,0,5,3,12,15,32,3,0,0,13,23,36,0,0,0,0,3,3,11,11,22,0,5,5,11,17,22,11,12,23,4,9,6,381,663,1045
LGA57000,0,0,0,0,0,0,0,0,0,0,7,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,5,0,4,5,0,5,8,0,5,0,0,0,9,11,23,0,0,0,0,0,0,10,13,27,0,0,0,0,11,12,0,0,0,0,0,0,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,5,5,10,0,12,5,0,5,661,166,826
LGA57080,246,110,74,185,660,360,1017,111,50,165,2221,923,3146,31,28,59,159,86,250,82,59,137,187,163,349,61,36,92,738,319,1058,183,69,254,38,110,145,1474,869,2341,101,69,170,2929,3551,6479,1568,2566,4131,1738,1501,3238,6333,7685,14020,0,3,5,54,40,96,1003,1029,2027,1062,1071,2134,72,40,108,16465,13791,30255,4664,1524,6185,21199,15352,36553,0,3,3,1745,2583,4326,552,818,1376,2304,3408,5708,31,41,71,5796,9379,15177,50,54,106,3368,2311,5682,9244,11788,21031,97,215,311,347,713,1062,2072,2794,4868,139,225,364,2662,3944,6604,83,274,355,4170,12517,16685,774,2417,3194,239,801,1035,587,1794,2378,5847,17811,23652,26,44,68,104,196,298,247,336,584,283,263,539,115,83,202,773,919,1695,0,0,0,329,133,466,860,1565,2420,0,3,3,1188,1702,2893,2673,1751,4423,899,752,1652,84989,85291,170275
LGA57140,0,0,8,5,0,0,0,0,0,5,13,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,15,5,17,0,0,0,0,0,7,14,6,22,0,0,0,0,20,25,0,0,0,0,0,0,3,20,27,0,3,3,0,12,13,5,21,24,0,3,3,0,7,7,3,46,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,4,0,8,4,0,6,5,0,5,167,176,347
LGA57210,0,10,13,17,3,0,3,0,0,0,80,29,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,3,3,7,8,5,15,19,0,0,0,0,0,4,3,7,6,3,9,10,0,0,0,13,32,36,5,0,5,13,32,43,0,0,0,3,3,11,11,9,20,10,18,30,0,0,0,34,38,67,0,0,0,37,12,48,67,46,114,0,4,4,28,106,130,0,0,0,0,6,10,31,114,145,0,4,8,11,54,64,6,41,46,6,17,20,0,10,14,19,128,149,0,0,0,0,0,0,0,3,0,3,0,6,0,0,0,4,3,5,0,0,0,30,10,42,7,10,17,0,0,0,37,15,56,27,23,50,16,22,35,1249,896,2143
LGA57280,9,25,22,47,214,81,296,3,0,4,977,215,1193,0,0,4,0,0,0,6,7,12,3,3,3,0,0,0,4,9,9,0,0,0,0,0,6,16,15,32,0,0,0,0,24,28,0,0,0,0,0,0,0,23,28,0,0,0,64,37,102,15,62,79,75,97,174,0,0,0,92,74,164,8,0,5,99,73,174,0,0,0,80,53,135,38,73,110,119,126,247,0,0,0,127,184,303,9,0,7,99,52,148,223,234,460,8,12,16,72,393,462,29,33,66,15,24,42,122,466,584,0,25,29,48,257,308,32,168,201,0,30,35,34,170,205,129,656,782,0,0,0,0,8,7,0,5,7,7,24,32,0,5,3,9,41,52,0,0,0,167,31,194,32,97,129,0,0,0,203,124,325,231,100,333,76,58,131,6659,3741,10399
LGA57350,0,0,0,3,0,0,0,4,0,4,8,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,21,0,0,0,0,0,0,8,15,25,0,0,0,0,29,27,0,0,0,4,0,0,5,27,33,0,0,0,3,11,19,0,6,9,0,0,0,0,4,4,3,22,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,5,5,0,0,0,6,5,5,4,0,6,5,5,5,162,140,302
LGA57420,0,3,5,10,0,0,0,0,0,3,26,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,10,16,3,11,16,0,0,0,11,11,25,0,0,0,11,15,23,0,0,0,12,8,16,0,6,6,10,10,23,0,0,0,34,26,58,0,0,0,8,4,9,33,33,65,0,0,0,11,61,64,0,0,0,0,0,0,11,58,66,0,3,3,0,20,19,6,15,16,0,0,0,0,18,18,5,53,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,4,7,14,0,0,0,19,11,31,30,7,34,13,7,27,1148,506,1650
LGA57490,11,182,94,275,50,3,56,40,23,57,748,251,1004,0,0,0,0,9,9,29,40,65,3,0,4,29,12,40,25,17,46,18,11,26,0,3,7,109,88,199,3,4,14,17,133,147,10,35,49,36,49,83,70,222,294,0,0,3,37,31,68,86,268,355,125,296,423,3,0,3,302,544,843,129,41,173,439,580,1014,0,3,3,143,247,394,235,313,548,375,569,945,0,3,4,366,505,873,2242,672,2913,274,154,427,2882,1338,4222,33,43,75,724,3545,4270,85,121,206,106,229,332,946,3935,4879,18,79,99,278,1280,1556,301,1286,1584,84,708,795,226,1333,1558,912,4679,5590,11,11,23,7,12,21,12,38,51,144,227,369,9,15,19,188,303,484,0,0,0,495,117,610,185,773,953,0,3,3,681,895,1568,584,375,960,240,152,392,14901,19922,34820
